rfid,subid,name,long,lat,area,perim,bleach,blchyn,year
17044,S,Ellison Reef,146.39,-17.72,0.001182136,0.134338041,3,1,1998
17044,S,Ellison Reef,146.39,-17.72,0.001182136,0.134338041,2,1,1998
17046,S,Sisters-Stephens Reef,146.15,-17.75,0.000382097,0.101426964,4,1,1998
17046,S,Sisters-Stephens Reef,146.15,-17.75,0.000382097,0.101426964,3,1,1998
17046,S,Sisters-Stephens Reef,146.15,-17.75,0.000382097,0.101426964,4,1,1998
17047,S,Eddy Reef,146.44,-17.77,0.00068732,0.108557341,3,1,1998
17048,S,King Reefs,146.12,-17.77,0.001286246,0.190863292,2,1,1998
17051,S,Beaver Reef,146.49,-17.85,0.000987603,0.141052457,3,1,1998
17053,S,Stingaree Reefs,146.15,-17.96,0.000150554,0.101877892,2,1,1998
17053,S,Stingaree Reefs,146.15,-17.96,0.000150554,0.101877892,2,1,1998
17053,S,Stingaree Reefs,146.15,-17.96,0.000150554,0.101877892,2,1,1998
17054,S,U/N Reef,146.14,-17.97,2.94E-05,0.02775056,1,1,1998
17055,S,Thorpe (Timana) Reef,146.13,-17.98,6.07E-05,0.037501075,4,1,1998
17059,A,Potter Reef (No 1),146.54,-17.7,0.001318737,0.186920585,2,1,1998
17060,S,U/N Reef,146.5,-17.74,0.000175146,0.055717251,5,0,1998
17063,A,Farquharson Reef (No 1),146.52,-17.79,0.001645718,0.188076262,5,0,1998
17063,A,Farquharson Reef (No 1),146.52,-17.79,0.001645718,0.188076262,4,1,1998
17064,S,Taylor Reef,146.55,-17.83,0.001438121,0.176304278,5,0,1998
17066,S,Yamacutta Reef,146.59,-17.89,0.004564833,0.275953152,2,1,1998
17068,S,Moss Reef,146.8,-17.95,0.000475965,0.10657991,3,1,1998
17069,S,U/N Reef,146.77,-18,0.000463411,0.081128665,4,1,1998
18001,S,Richards (Bedarra) Reef,146.15,-18.01,4.14E-05,0.048474123,3,1,1998
18003,S,Wheeler (Toolgbar) Island Reef,146.17,-18.02,2.82E-05,0.042016864,4,1,1998
18004,S,Coombe Reef,146.18,-18,3.80E-05,0.05324419,1,1,1998
18005,S,Smith-Bowden Reef,146.2,-18.04,6.62E-05,0.05176576,2,1,1998
